agent;time_slot;consumption (kW)
ferme;1;0.1
ferme;2;0.1
ferme;3;0.1
ferme;4;0.1
ferme;5;0.1
ferme;6;0.1
ferme;7;0.1
ferme;8;0.1
ferme;9;0.1
ferme;10;0.1
ferme;11;0.1
ferme;12;-0.215
ferme;13;-1.317
ferme;14;-2.676
ferme;15;-4.164
ferme;16;-5.696
ferme;17;-7.205
ferme;18;-8.639
ferme;19;-9.949
ferme;20;-11.099
ferme;21;-12.058
ferme;22;-12.801
ferme;23;-13.31
ferme;24;-13.572
ferme;25;-13.581
ferme;26;-13.336
ferme;27;-12.845
ferme;28;-12.117
ferme;29;-11.174
ferme;30;-10.036
ferme;31;-8.736
ferme;32;-7.313
ferme;33;-5.809
ferme;34;-4.276
ferme;35;-2.783
ferme;36;-1.414
ferme;37;-0.287
ferme;38;0.1
ferme;39;0.1
ferme;40;0.1
ferme;41;0.1
ferme;42;0.1
ferme;43;0.1
ferme;44;0.1
ferme;45;0.1
ferme;46;0.1
ferme;47;0.1
ferme;48;0.1
evs;1;-10.957
evs;2;-18.012
evs;3;-19.165
evs;4;10.935
evs;5;-13.57
evs;6;18.462
evs;7;5.875
evs;8;-11.42
evs;9;-8.503
evs;10;9.319
evs;11;20.755
evs;12;30.779
evs;13;-33.11
evs;14;-2.265
evs;15;5.597
evs;16;24.744
evs;17;-20.313
evs;18;-6.295
evs;19;-1.664
evs;20;22.507
evs;21;-15.739
evs;22;19.444
evs;23;0.183
evs;24;-10.575
evs;25;-7.243
evs;26;0.413
evs;27;15.761
evs;28;2.559
evs;29;29.471
evs;30;-0.048
evs;31;0.911
evs;32;8.83
evs;33;22.328
evs;34;-31.304
evs;35;31.063
evs;36;10.035
evs;37;-1.658
evs;38;-19.88
evs;39;16.249
evs;40;-9.208
evs;41;18.181
evs;42;-5.518
evs;43;-30.02
evs;44;8.016
evs;45;-27.126
evs;46;28.546
evs;47;-30.532
evs;48;0.229
industrie;1;37.021
industrie;2;36.789
industrie;3;29.246
industrie;4;19.91
industrie;5;22.696
industrie;6;31.804
industrie;7;32.833
industrie;8;22.686
industrie;9;18.829
industrie;10;33.551
industrie;11;29.347
industrie;12;20.382
industrie;13;34.186
industrie;14;33.62
industrie;15;38.553
industrie;16;37.169
industrie;17;61.344
industrie;18;55.972
industrie;19;68.165
industrie;20;72.662
industrie;21;74.287
industrie;22;73.265
industrie;23;69.381
industrie;24;77.422
industrie;25;61.636
industrie;26;73.48
industrie;27;64.474
industrie;28;73.771
industrie;29;75.678
industrie;30;59.847
industrie;31;79.011
industrie;32;62.111
industrie;33;72.879
industrie;34;51.543
industrie;35;50.221
industrie;36;48.865
industrie;37;58.575
industrie;38;60.412
industrie;39;46.685
industrie;40;46.066
industrie;41;36.635
industrie;42;55.771
industrie;43;59.28
industrie;44;54.582
industrie;45;49.481
industrie;46;46.945
industrie;47;37.208
industrie;48;26.887
datacenter;1;20.332
datacenter;2;3.268
datacenter;3;0.368
datacenter;4;-1.303
datacenter;5;1.784
datacenter;6;1.845
datacenter;7;7.048
datacenter;8;1.857
datacenter;9;1.223
datacenter;10;-1.552
datacenter;11;3.671
datacenter;12;4.125
datacenter;13;1.611
datacenter;14;7.819
datacenter;15;2.045
datacenter;16;0.682
datacenter;17;-1.001
datacenter;18;5.754
datacenter;19;-1.209
datacenter;20;3.623
datacenter;21;12.569
datacenter;22;2.233
datacenter;23;4.967
datacenter;24;0.679
datacenter;25;1.61
datacenter;26;6.851
datacenter;27;0.611
datacenter;28;-2.351
datacenter;29;-1.863
datacenter;30;13.007
datacenter;31;0.145
datacenter;32;5.728
datacenter;33;4.15
datacenter;34;12.367
datacenter;35;7.275
datacenter;36;1.806
datacenter;37;-1.499
datacenter;38;-0.435
datacenter;39;15.589
datacenter;40;2.521
datacenter;41;2.582
datacenter;42;5.716
datacenter;43;0.419
datacenter;44;1.923
datacenter;45;4.526
datacenter;46;4.308
datacenter;47;6.036
datacenter;48;2.567
